base,en,fr
plot_parameters,Plot parameters,Paramètres de la figure
variables,Variables,Variables
plot_choice,Plot choice,Choix de la figure
x_variable,X variable,Axe des X
y_variable,Y variable,Axe des Y
show,Show plot,Afficher la figure
save,Save,Sauvegarder
hide_params,Hide parameters,Masquer les paramètres
x_label,X-axis label,Texte de l'axe des X
y_label,Y-axis label,Texte de l'axe des Y
theme,Theme,Thème
stat,Stat,Stat
bins,Bins,Barres
bin_width,Bin width,Largeur des barres
num_of_bins,Number of bins,Nombre de barres
value,Value,Valeur
palette,Palette,Palette
histogram,Histogram,Histogramme
scatter_plot,Scatter plot,Diagramme de dispersion
none,None,Aucune
group_data,Group data,Grouper les données
group_by,Group by,Grouper par
person,Patient,Patient
duration,Duration,Durée
minutes,Minutes,Minutes
hours,Hours,Heures
days,Days,Jours
summarize_fct,Summarize function,Fonction d'agrégat
min,Min,Minimum
max,Max,Maximum
mean,Mean,Moyenne
